Water level predictions and measurements
from NOAA gage 8728690 (Apalachicola, 
Florida) for a three-week period surrounding
Hurricane Michael in October 2018. The
timestamps are formatted as YYYYMMDDhhmm in
Greenwich Mean Time. WL_predict_m are the
harmonic tide predictions in meters relative
to NAVD88. WL_measured_m are the water level
measurements in meters relative to NAVD88.
*
TimeGMT WL_predict_m WL_measured_m
201810021642 0.085 0.212
201810021648 0.076 0.206
201810021654 0.068 0.198
201810021700 0.060 0.188
201810021706 0.051 0.178
201810021712 0.043 0.166
201810021718 0.035 0.156
201810021724 0.028 0.147
201810021730 0.020 0.139
201810021736 0.012 0.128
201810021742 0.005 0.120
201810021748 -0.002 0.113
201810021754 -0.009 0.104
201810021800 -0.016 0.094
201810021806 -0.022 0.085
201810021812 -0.029 0.074
201810021818 -0.035 0.063
201810021824 -0.041 0.051
201810021830 -0.047 0.043
201810021836 -0.053 0.037
201810021842 -0.059 0.028
201810021848 -0.064 0.022
201810021854 -0.070 0.012
201810021900 -0.075 0.001
201810021906 -0.080 -0.008
201810021912 -0.085 -0.016
201810021918 -0.089 -0.023
201810021924 -0.094 -0.036
201810021930 -0.098 -0.043
201810021936 -0.102 -0.050
201810021942 -0.106 -0.057
201810021948 -0.110 -0.061
201810021954 -0.113 -0.064
201810022000 -0.116 -0.070
201810022006 -0.119 -0.077
201810022012 -0.122 -0.086
201810022018 -0.125 -0.093
201810022024 -0.127 -0.098
201810022030 -0.130 -0.104
201810022036 -0.132 -0.112
201810022042 -0.133 -0.115
201810022048 -0.135 -0.117
201810022054 -0.136 -0.118
201810022100 -0.137 -0.119
201810022106 -0.138 -0.118
201810022112 -0.139 -0.118
201810022118 -0.139 -0.123
201810022124 -0.139 -0.125
201810022130 -0.138 -0.124
201810022136 -0.138 -0.127
201810022142 -0.137 -0.127
201810022148 -0.136 -0.124
201810022154 -0.134 -0.122
201810022200 -0.132 -0.123
201810022206 -0.130 -0.118
201810022212 -0.128 -0.112
201810022218 -0.125 -0.104
201810022224 -0.122 -0.100
201810022230 -0.118 -0.098
201810022236 -0.115 -0.093
201810022242 -0.110 -0.085
201810022248 -0.106 -0.075
201810022254 -0.101 -0.065
201810022300 -0.096 -0.057
201810022306 -0.091 -0.047
201810022312 -0.085 -0.036
201810022318 -0.080 -0.028
201810022324 -0.073 -0.017
201810022330 -0.067 -0.005
201810022336 -0.060 0.004
201810022342 -0.053 0.012
201810022348 -0.046 0.022
201810022354 -0.038 0.034
201810030000 -0.030 0.043
201810030006 -0.022 0.052
201810030012 -0.014 0.063
201810030018 -0.006 0.075
201810030024 0.003 0.088
201810030030 0.011 0.099
201810030036 0.020 0.110
201810030042 0.029 0.124
201810030048 0.038 0.136
201810030054 0.047 0.151
201810030100 0.056 0.170
201810030106 0.065 0.180
201810030112 0.074 0.186
201810030118 0.083 0.199
201810030124 0.092 0.216
201810030130 0.101 0.235
201810030136 0.110 0.265
201810030142 0.119 0.286
201810030148 0.127 0.285
201810030154 0.136 0.280
201810030200 0.144 0.282
201810030206 0.152 0.284
201810030212 0.160 0.298
201810030218 0.168 0.311
201810030224 0.175 0.312
201810030230 0.182 0.321
201810030236 0.189 0.318
201810030242 0.196 0.334
201810030248 0.202 0.343
201810030254 0.208 0.349
201810030300 0.214 0.348
201810030306 0.220 0.359
201810030312 0.225 0.359
201810030318 0.230 0.360
201810030324 0.235 0.360
201810030330 0.239 0.373
201810030336 0.243 0.383
201810030342 0.247 0.386
201810030348 0.251 0.385
201810030354 0.254 0.386
201810030400 0.257 0.393
201810030406 0.260 0.398
201810030412 0.263 0.395
201810030418 0.265 0.404
201810030424 0.267 0.401
201810030430 0.269 0.400
201810030436 0.271 0.401
201810030442 0.273 0.403
201810030448 0.274 0.397
201810030454 0.275 0.394
201810030500 0.276 0.402
201810030506 0.277 0.412
201810030512 0.277 0.412
201810030518 0.278 0.410
201810030524 0.278 0.412
201810030530 0.278 0.412
201810030536 0.278 0.410
201810030542 0.278 0.411
201810030548 0.278 0.412
201810030554 0.278 0.406
201810030600 0.277 0.404
201810030606 0.276 0.403
201810030612 0.276 0.409
201810030618 0.275 0.411
201810030624 0.274 0.410
201810030630 0.273 0.415
201810030636 0.272 0.423
201810030642 0.271 0.425
201810030648 0.270 0.421
201810030654 0.268 0.415
201810030700 0.267 0.412
201810030706 0.266 0.408
201810030712 0.264 0.407
201810030718 0.263 0.407
201810030724 0.262 0.408
201810030730 0.261 0.406
201810030736 0.259 0.402
201810030742 0.258 0.401
201810030748 0.257 0.402
201810030754 0.256 0.401
201810030800 0.255 0.399
201810030806 0.254 0.399
201810030812 0.253 0.403
201810030818 0.252 0.407
201810030824 0.252 0.409
201810030830 0.251 0.410
201810030836 0.251 0.408
201810030842 0.251 0.405
201810030848 0.250 0.401
201810030854 0.250 0.398
201810030900 0.251 0.399
201810030906 0.251 0.399
201810030912 0.251 0.398
201810030918 0.252 0.399
201810030924 0.252 0.401
201810030930 0.253 0.406
201810030936 0.254 0.410
201810030942 0.255 0.412
201810030948 0.256 0.415
201810030954 0.258 0.416
201810031000 0.259 0.416
201810031006 0.261 0.416
201810031012 0.263 0.420
201810031018 0.264 0.421
201810031024 0.266 0.421
201810031030 0.268 0.422
201810031036 0.270 0.426
201810031042 0.273 0.429
201810031048 0.275 0.431
201810031054 0.277 0.432
201810031100 0.280 0.433
201810031106 0.283 0.434
201810031112 0.285 0.440
201810031118 0.288 0.444
201810031124 0.291 0.446
201810031130 0.293 0.451
201810031136 0.296 0.455
201810031142 0.299 0.452
201810031148 0.302 0.457
201810031154 0.305 0.460
201810031200 0.307 0.463
201810031206 0.310 0.465
201810031212 0.313 0.470
201810031218 0.316 0.469
201810031224 0.318 0.477
201810031230 0.321 0.484
201810031236 0.323 0.494
201810031242 0.325 0.496
201810031248 0.327 0.495
201810031254 0.329 0.495
201810031300 0.331 0.493
201810031306 0.333 0.494
201810031312 0.334 0.497
201810031318 0.335 0.499
201810031324 0.336 0.501
201810031330 0.337 0.500
201810031336 0.337 0.500
201810031342 0.337 0.499
201810031348 0.337 0.496
201810031354 0.336 0.491
201810031400 0.335 0.488
201810031406 0.334 0.486
201810031412 0.332 0.483
201810031418 0.330 0.478
201810031424 0.327 0.474
201810031430 0.325 0.470
201810031436 0.321 0.466
201810031442 0.318 0.462
201810031448 0.314 0.461
201810031454 0.310 0.458
201810031500 0.305 0.453
201810031506 0.301 0.445
201810031512 0.295 0.443
201810031518 0.290 0.443
201810031524 0.284 0.439
201810031530 0.278 0.433
201810031536 0.272 0.428
201810031542 0.265 0.426
201810031548 0.259 0.423
201810031554 0.252 0.415
201810031600 0.245 0.409
201810031606 0.238 0.400
201810031612 0.230 0.393
201810031618 0.223 0.387
201810031624 0.215 0.381
201810031630 0.208 0.374
201810031636 0.200 0.368
201810031642 0.192 0.361
201810031648 0.184 0.355
201810031654 0.177 0.348
201810031700 0.169 0.343
201810031706 0.161 0.333
201810031712 0.153 0.324
201810031718 0.146 0.316
201810031724 0.138 0.310
201810031730 0.130 0.304
201810031736 0.122 0.294
201810031742 0.115 0.286
201810031748 0.107 0.275
201810031754 0.099 0.263
201810031800 0.092 0.253
201810031806 0.084 0.244
201810031812 0.077 0.233
201810031818 0.069 0.226
201810031824 0.062 0.219
201810031830 0.055 0.211
201810031836 0.047 0.205
201810031842 0.040 0.195
201810031848 0.033 0.185
201810031854 0.026 0.175
201810031900 0.019 0.166
201810031906 0.012 0.156
201810031912 0.005 0.148
201810031918 -0.002 0.143
201810031924 -0.009 0.137
201810031930 -0.016 0.129
201810031936 -0.022 0.119
201810031942 -0.029 0.108
201810031948 -0.035 0.100
201810031954 -0.042 0.091
201810032000 -0.048 0.078
201810032006 -0.054 0.066
201810032012 -0.060 0.060
201810032018 -0.066 0.051
201810032024 -0.072 0.042
201810032030 -0.078 0.038
201810032036 -0.083 0.027
201810032042 -0.088 0.016
201810032048 -0.093 0.007
201810032054 -0.098 -0.003
201810032100 -0.103 -0.007
201810032106 -0.108 -0.016
201810032112 -0.112 -0.022
201810032118 -0.116 -0.032
201810032124 -0.120 -0.034
201810032130 -0.124 -0.039
201810032136 -0.128 -0.045
201810032142 -0.131 -0.049
201810032148 -0.134 -0.054
201810032154 -0.137 -0.056
201810032200 -0.140 -0.063
201810032206 -0.142 -0.061
201810032212 -0.144 -0.063
201810032218 -0.146 -0.066
201810032224 -0.147 -0.068
201810032230 -0.148 -0.067
201810032236 -0.149 -0.067
201810032242 -0.150 -0.068
201810032248 -0.150 -0.067
201810032254 -0.150 -0.065
201810032300 -0.149 -0.060
201810032306 -0.148 -0.058
201810032312 -0.147 -0.059
201810032318 -0.146 -0.056
201810032324 -0.143 -0.051
201810032330 -0.141 -0.050
201810032336 -0.138 -0.047
201810032342 -0.135 -0.037
201810032348 -0.131 -0.028
201810032354 -0.127 -0.022
201810040000 -0.122 -0.013
201810040006 -0.117 -0.003
201810040012 -0.112 0.007
201810040018 -0.106 0.015
201810040024 -0.100 0.024
201810040030 -0.093 0.035
201810040036 -0.086 0.045
201810040042 -0.078 0.056
201810040048 -0.071 0.068
201810040054 -0.062 0.082
201810040100 -0.054 0.094
201810040106 -0.045 0.104
201810040112 -0.036 0.116
201810040118 -0.027 0.129
201810040124 -0.017 0.142
201810040130 -0.008 0.152
201810040136 0.002 0.162
